year,rank,artist,song
2023,89,Ashlie Skye,God Complex
2023,90,Gia Margaret,no sleep no dream
2023,91,THE JON JOHNS,NA NA SONG
2023,92,Salmon Cat,Soft Blood
2023,93,Junius Meyvant,Signals
2023,94,Rubblebucket,Lemonade
2023,95,Goth Babe,Running Around
2023,96,PROM,Don't Call Me Here
2023,97,Cage The Elephant,Cigarette Daydreams
2023,98,LCD Soundsystem,All My Friends
2023,99,Bayonne,Right Thing
2023,100,Sniffle Party,Peach Dream
